ring_no,species,code,age,sex,visit_date,location_name,wing,weight,min_t,max_t,ringer,sheet
AYC3217,Blue Tit,BLUTI,6,F,05/06/2018,,62,10.4,16.8,18.6,IDH,IDH_20180822
S842426,Blue Tit,BLUTI,5,M,05/06/2018,,63,9.8,16.7,19.4,IDH,IDH_20180822
S842653,Blue Tit,BLUTI,5,M,05/06/2018,,63,9.7,17.8,19.8,IDH,IDH_20180822
S873796,Blue Tit,BLUTI,5,F,05/06/2018,,59,9.6,15.8,18.2,IDH,IDH_20180822
NZ05551,Great Tit,GRETI,5,M,05/06/2018,,76,19.3,21.2,23.7,IDH,IDH_20180822
S152379,Great Tit,GRETI,6,M,05/06/2018,,77,17.3,20.9,23.1,IDH,IDH_20180822
S842922,Great Tit,GRETI,6,F,05/06/2018,,75,16.7,20.5,23.1,IDH,IDH_20180822
VZ80798,Great Tit,GRETI,5,F,05/06/2018,,72,18,20.4,22.8,IDH,IDH_20180822
AYC3454,Blue Tit,BLUTI,5,F,05/06/2018,KB,61,9,16.9,19.5,SB,SB_20180731
Z663021,Great Tit,GRETI,6,M,05/06/2018,KB,78,19,21.2,24.7,SB,SB_20180731
Z663022,Great Tit,GRETI,6,F,05/06/2018,KB,72,17.5,20.3,22.8,SB,SB_20180731
AYC3218,Blue Tit,BLUTI,5,F,06/06/2018,,61,9.4,16.3,18,IDH,IDH_20180822
AYC3219,Blue Tit,BLUTI,5,M,06/06/2018,,65,9.8,16.8,18.7,IDH,IDH_20180822
NZ05561,Great Tit,GRETI,5,M,06/06/2018,,76,17.7,20.5,23,IDH,IDH_20180822
NZ05562,Great Tit,GRETI,5,F,06/06/2018,,73,18.3,20.5,23.2,IDH,IDH_20180822
S152682,Great Tit,GRETI,6,M,06/06/2018,,77,18.1,20.8,23,IDH,IDH_20180822
S842872,Great Tit,GRETI,6,F,06/06/2018,,75,16.9,20.7,22.7,IDH,IDH_20180822
AYC3455,Blue Tit,BLUTI,5,M,06/06/2018,KB,64,10.5,17.2,19.8,SB,SB_20180731
AYC3456,Blue Tit,BLUTI,6,F,06/06/2018,GT,61,9.5,16.7,18.8,SB,SB_20180731
